"序號","事業單位名稱","違反條文","罰鍰文號","罰鍰日期"
140,"聯合保全股份有限公司","第22條第2項","高市勞條字第10530266400號","105/01/20"
,,"第30條第5項","高市勞條字第1053026640A號","105/01/20"
141,"富蘭克林證券投資顧問股份有限公司","第24條","高市勞條字第10530214100號","105/01/20"
,,"第30條第5項","高市勞條字第1053021410A號","105/01/20"
142,"一甲營造有限公司","第22條第2項","高市勞條字第10530401700號","105/01/20"
143,"陳文洲即阿線企業行","第80條","高市勞條字第10440462000號","105/01/20"
144,"陳劍春即黃金曼商行","第21條第1項","高市勞條字第10440378200號","105/01/20"
,,"第24條",,
145,"荷蘭商仕寶保險公證股份有限公司台灣分公司","第30條第5項","高市勞條字第10439956000號","105/01/20"
146,"台灣苯乙烯工業股份有限公司","第24條","高市勞條字第10530130700號","105/01/20"
,,"第32條第2項",,
,,"第36條",,
,,"第39條",,
1,"中華郵政股份有限公司","勞動基準法第30條第5項","高市勞條字第10436598800號","104/09/15"
2,"龍典工業股份有限公司","勞動基準法第24條","高市勞條字第10438153200號","104/11/11"
,,"勞動基準法第36條",,
3,"真善美養護家園","勞動基準法第24條","高市勞條字第10437831600號","104/10/26"
4,"路得不動產有限公司","勞動基準法第24條","高市勞條字第10438312000號","104/11/16"
5,"剛健鋼鐵工業股份有限公司","勞動基準法第22條第2項","高市勞條字第10438393600號","104/11/24"
6,"劉智美即韓福香小吃店","勞動基準法第30條第5項","高市勞條字第10438844700號","104/12/01"
7,"良安行有限公司","勞動基準法第22條第2項","高市勞條字第10438077300號","104/11/10"
8,"昶澄企業有限公司","勞動基準法第24條","高市勞條字第10438825800號","104/12/10"
,,"勞動基準法第32條第2項",,
9,"台灣中油股份有限公司","勞動基準法第55條","高市勞條字第10439160400號","104/12/16"
10,"禾億五金有限公司","勞動基準法第32條第2項","高市勞條字第10439103900號","104/12/17"
11,"黃鴻隆","勞動基準法第21條第1項","高市勞條字第10439101900號","104/12/18"
,,"勞動基準法第22條第2項",,
12,"好爸爸居家消毒除蟲有限公司","勞動基準法第30條第5項","高市勞條字第10439369100號","104/12/18"
13,"社團法人高雄市路竹社會福利協會","勞動基準法第30條第5項","高市勞條字第10438895600號","104/12/18"
14,"炭火燒肉有限公司","勞動基準法第39條","高市勞條字第1043930250A號","104/12/23"
,,"勞動基準法第43條",,
15,"台灣中油股份有限公司","勞動基準法第24條","高市勞條字第10439161000號","104/12/24"
,,"勞動基準法第39條",,
16,"李珮珍即酒窩食堂","勞動基準法第21條第1項","高市勞條字第10439975900號","105/01/04"
,,"勞動基準法第22條第2項",,
,,"勞動基準法第30條第5項",,
17,"鄭元璋即勁勇企業社","勞動基準法第30條第5項","高市勞條字第10530051200號","105/01/05"
18,"陳劍春即黃金曼商行","勞動基準法第21條第1項","高市勞條字第10440378200號","105/01/20"
,,"勞動基準法第24條",,
19,"三英鋼鐵股份有限公司","勞動基準法第39條","高市勞條字第10530451800號","105/01/21"
20,"信齊保全股份有限公司","勞動基準法第30條第5項","高市勞條字第10530276000號","105/01/22"
21,"李珮羢即旭盛食品行","勞動基準法第22條第2項","高市勞條字第10530413800號","105/01/25"
22,"正泰精密工業有限公司","勞動基準法第24條","高市勞條字第10530207300號","105/01/25"
,,"勞動基準法第32條第2項",,
23,"玖盛保全股份有限公司","勞動基準法第24條","高市勞條字第10530620100號","105/01/25"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第36條",,
24,"鄧記餐飲有限公司","勞動基準法第32條第2項","高市勞條字第10440378100號","105/01/25"
25,"常友股份有限公司","勞動基準法第30條第5項","高市勞條字第10530206900號","105/01/25"
26,"漢衛公寓大廈管理維護股份有限公司","勞動基準法第24條","高市勞條字第10530206400號","105/01/25"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第35條",,
,,"勞動基準法第38條",,
,,"勞動基準法第39條",,
27,"漢衛公寓大廈管理維護股份有限公司","勞動基準法第30條第5項","高市勞條字第1053020640A號","105/01/25"
28,"南隆塑膠廠股份有限公司","勞動基準法第32條第2項","高市勞條字第10530484800號","105/01/27"
,,"勞動基準法第36條",,
29,"英屬百慕達商友邦人壽保險股份有限公司台灣分公司","勞動基準法第24條","高市勞條字第10440290400號","105/01/28"
30,"一零三金文具有限公司","勞動基準法第30條第5項","高市勞條字第10530578300號","105/01/28"
,,"勞動基準法第39條",,
31,"高珍企業股份有限公司","勞動基準法第24條","高市勞條字第10530346600號","105/01/29"
,,"勞動基準法第32條第2項",,
32,"鄭弘毅即伊利斯商行","勞動基準法第22條第2項","高市勞條字第10530530000號","105/01/29"
